OBJECTID,TREEID,DATE,COLLECTOR,LANDUSE,HEIGHT,DIAMETER,HAZARD,NOTES,STATUS,GlobalID,Species,Condition,TREE_ID,Donor,Planted,treatmenthistory,latitude,longitude
31,1343,"Fri, 16 Dec 2016 20:20:25 GMT",Beaty,,25,9,No,American Elm,Planted,9813565c-a429-434b-8847-3fd8d1565880,Ulmus americana,Fair,125,,,,43.70935120459,-72.2828575752956
33,1202,"Tue, 03 Jan 2017 19:46:43 GMT",Beaty ,,65,23,No,Pin oak,Planted,1e73fdf5-618d-4cd4-be4c-d80f373086a8,Quercus palustris,Fair. Possible root and stem rot.,MB03,,,,43.7078329828044,-72.2881271504539
34,126976,"Tue, 03 Jan 2017 19:49:22 GMT",Beaty ,,24,12,No,Austrian pine group of 7,Planted,2c688c1f-afd7-4baa-b8a5-5eacabb13067,Pinus nigra,Poor,MB70-75,,,,43.7080566958,-72.2881469317454
35,1276,"Tue, 03 Jan 2017 19:51:17 GMT",Beaty ,,65,30,No,Pin Oak,Planted,88a99797-1558-4a1d-adec-44028d3e45ec,Quercus palustris,Fair,MB76,,,,43.7082710629736,-72.2878687363791
36,1277,"Tue, 03 Jan 2017 19:54:14 GMT",Beaty ,,20,10,No,Cork tree removed 2020,Planted,e3575c59-93c4-439d-a33d-df1869046457,Phellodendron amurense,Fair,MB77,,,,43.7083961628784,-72.2879459337073
37,12104,"Tue, 03 Jan 2017 19:55:19 GMT",Beaty ,,55,60,No,Hemlock four stem,Planted,38a3bfd0-b712-4433-8b58-8c96cad0219e,Tsuga canadensis,Fair,MB104,,,,43.7083945149286,-72.2878542795606
38,12109,"Tue, 03 Jan 2017 19:56:48 GMT",Beaty ,,50,15,No,Norway maple ,Planted,2ab61cc4-f858-4a15-b5a3-2d0446b7c2f0,Acer platanoides,Fair,MB109,,,,43.7085600290855,-72.2877332010048
39,12110,"Tue, 03 Jan 2017 19:58:32 GMT",Beaty ,,35,12,No,Green ash,Planted,0aaf82ad-3fa7-4880-950a-aabc6d106d1e,Fraxinus pensylvanicus,Fair,MB110,,,Mectinite 7-29-2020,43.7085660221462,-72.2875845898616
40,12106,"Tue, 03 Jan 2017 20:00:03 GMT",Beaty ,,20,10,No,Amelanchier group of 2,Planted,7640653a-417a-4723-aabd-1b489e307aa6,Amelanchier (Amelanchier canadensis),Poor,MB106,,,,43.7083848053996,-72.2874635551798
41,12164,"Tue, 03 Jan 2017 20:01:35 GMT",Beaty ,,12,5,No,Crabapples 3,Planted,abda4cc8-113a-42b8-bb21-eea9ca5ff5b0,Crabapple (Malus),good,MB164,,,,43.7085403782335,-72.2873659060078
42,12113,"Tue, 03 Jan 2017 20:03:05 GMT",Beaty ,,16,11,No,Amelanchier,Planted,e403b852-5411-4b50-a5da-7a4a8b7bf9f0,Amelanchier canadensis,Fair,MB113,,,,43.7086031120678,-72.287223581292
43,12169,"Tue, 03 Jan 2017 20:04:29 GMT",Beaty ,,16,6,No,Dawn redwood planted 2018,Planted,32756bb3-41cb-4a6a-b79a-ad579c6cffca,Metasequoia glyptostroboides,Good,MB169,,2018,,43.7086728914117,-72.2874790617007
44,,"Tue, 03 Jan 2017 20:07:01 GMT",Beaty ,,12,5,No,Amur cork,Planted,9ab3f484-fce0-4fe8-a1e2-a1b11c4b11b1,Amur cork (Phellodendron amurense),Fair,MB79,,,,43.7082161435436,-72.2876520173613
45,,"Tue, 10 Jan 2017 19:47:28 GMT",Beaty,,50,22,No,Swamp white oak,Planted,37b6be91-7ea7-4ae2-be89-98d2988c0795,Quercus bicolor,Good,MB116,Honoring Deb Fisk 50 years of service ,,,43.7088962938607,-72.2874418562005
46,,"Tue, 10 Jan 2017 19:49:20 GMT",Beaty,,90,37,No,White Pine,Planted,e70db4bd-c027-4e7e-95d7-7c400fd5ff20,Pinus strobus,Fair,MB117,,,,43.7091760151495,-72.28708611808
47,,"Tue, 10 Jan 2017 19:50:59 GMT",Beaty,,50,24,No,Norway Maple ,Planted,1aa7ccef-003a-4729-bace-589c3f8c5cbb,Acer platanoides,Fair,MBT118,,,,43.7092703534697,-72.2869922407645
48,,"Tue, 10 Jan 2017 19:52:12 GMT",Beaty ,,65,26,No,Norway Spruce,Planted,9a7f395d-99ec-4823-874e-53a15836f19f,Picea abies,Fair,MB120,,,,43.7093249615689,-72.2869007942009
49,,"Tue, 10 Jan 2017 19:53:32 GMT",Beaty ,,25,28,No,Crabapple ,Planted,173d06d1-3104-4bf7-b2f1-2bec930af00f,crabapple (Malus),Fair,MBT119,,,,43.7092777295445,-72.2869009618389
50,,"Thu, 12 Jan 2017 16:10:10 GMT",Beaty ,,35,18,No,Green Ash (Fraxinus pennsylvanica),Planted,46aec06e-b8f7-4434-92fb-71376061ac66,Green Ash (Fraxinus pennsylvanica),Fair,WC18,,,"Mectinite 6-7-19, 2023",43.7033329904486,-72.2908519395369
51,,"Thu, 12 Jan 2017 16:12:20 GMT",Beaty ,,18,20,No,Chionanthus ,Planted,a833d9ff-fecc-4e42-9d32-a21f29de4787,Fringe Tree (Chionanthus virginiana),Good,WC16,,,,43.7033303920586,-72.2907407116818
52,,"Tue, 31 Jan 2017 18:58:36 GMT",Beaty ,,95,40,No,Extensive decay no opening ,Planted,3e1eaec2-6e20-40aa-a51a-c31f66c84271,"Norway spruce, Picea abies",Poor,CP52,,,,43.7053702120145,-72.2844536975699
