,Sample.Case,Virus,Sample.Type,County,Town,Date,latitude,longitude
519,63,WNV,Mosquito,Dukes,West Tisbury,8/30/22,41.381005,-70.6744926
13,13,WNV,Mosquito,Dukes,Edgartown,7/9/24,41.3894198,-70.5129682
396,396,WNV,Mosquito,Dukes,Edgartown,9/3/24,41.3894198,-70.5129682
463,7,WNV,Mosquito,Dukes,Edgartown,7/26/22,41.3894198,-70.5129682
493,37,WNV,Mosquito,Dukes,Edgartown,8/16/22,41.3894198,-70.5129682
507,51,WNV,Mosquito,Dukes,Edgartown,8/23/22,41.3894198,-70.5129682
84,84,WNV,Mosquito,Barnstable,Falmouth,7/30/24,41.5514979,-70.6147519
164,164,WNV,Mosquito,Barnstable,Falmouth,8/6/24,41.5514979,-70.6147519
405,405,WNV,Mosquito,Barnstable,Falmouth,9/4/24,41.5514979,-70.6147519
252,252,EEE,Mosquito,Bristol,Westport,8/12/24,41.6220399,-71.0780195
366,366,WNV,Mosquito,Bristol,Westport,8/27/24,41.6220399,-71.0780195
367,367,WNV,Mosquito,Bristol,Westport,8/27/24,41.6220399,-71.0780195
373,373,EEE,Mosquito,Bristol,Westport,8/29/24,41.6220399,-71.0780195
397,397,WNV,Mosquito,Bristol,Westport,9/3/24,41.6220399,-71.0780195
742,178,WNV,Mosquito,Bristol,Westport,9/25/23,41.6220399,-71.0780195
27,27,WNV,Mosquito,Bristol,Dartmouth,7/17/24,41.6332267,-70.9879928
133,133,WNV,Mosquito,Bristol,Dartmouth,7/31/24,41.6332267,-70.9879928
67,67,WNV,Mosquito,Bristol,New Bedford,7/24/24,41.6362152,-70.934205
132,132,WNV,Mosquito,Bristol,New Bedford,7/31/24,41.6362152,-70.934205
262,262,WNV,Mosquito,Bristol,New Bedford,8/12/24,41.6362152,-70.934205
305,305,WNV,Mosquito,Bristol,New Bedford,8/14/24,41.6362152,-70.934205
340,340,WNV,Mosquito,Bristol,New Bedford,8/21/24,41.6362152,-70.934205
351,351,EEE,Mosquito,Bristol,New Bedford,8/26/24,41.6362152,-70.934205
352,352,EEE,Mosquito,Bristol,New Bedford,8/26/24,41.6362152,-70.934205
26,26,WNV,Mosquito,Bristol,Fairhaven,7/17/24,41.6376043,-70.9036487
66,66,WNV,Mosquito,Bristol,Fairhaven,7/24/24,41.6376043,-70.9036487
199,199,WNV,Mosquito,Plymouth,Mattapoisett,8/6/24,41.6580466,-70.8135195
200,200,WNV,Mosquito,Plymouth,Mattapoisett,8/6/24,41.6580466,-70.8135195
201,201,WNV,Mosquito,Plymouth,Mattapoisett,8/6/24,41.6580466,-70.8135195
202,202,WNV,Mosquito,Plymouth,Mattapoisett,8/6/24,41.6580466,-70.8135195
203,203,WNV,Mosquito,Plymouth,Mattapoisett,8/6/24,41.6580466,-70.8135195
310,310,WNV,Mosquito,Plymouth,Mattapoisett,8/18/24,41.6580466,-70.8135195
345,345,WNV,Mosquito,Plymouth,Mattapoisett,8/20/24,41.6580466,-70.8135195
384,384,EEE,Mosquito,Plymouth,Mattapoisett,8/29/24,41.6580466,-70.8135195
385,385,EEE,Mosquito,Plymouth,Mattapoisett,8/29/24,41.6580466,-70.8135195
198,198,WNV,Mosquito,Plymouth,Marion,8/6/24,41.7001043,-70.7628129
311,311,EEE,Mosquito,Plymouth,Marion,8/18/24,41.7001043,-70.7628129
523,67,WNV,Mosquito,Plymouth,Marion,8/26/22,41.7001043,-70.7628129
699,140,WNV,Mosquito,Plymouth,Marion,9/13/23,41.7001043,-70.7628129
700,141,WNV,Mosquito,Plymouth,Marion,9/13/23,41.7001043,-70.7628129
537,81,WNV,Mosquito,Bristol,Fall River,9/1/22,41.7010642,-71.1546367
677,118,WNV,Mosquito,Bristol,Fall River,9/7/23,41.7010642,-71.1546367
46,46,EEE,Mosquito,Barnstable,Barnstable,7/23/24,41.7016936,-70.3036163
355,355,WNV,Mosquito,Barnstable,Barnstable,8/27/24,41.7016936,-70.3036163
652,93,WNV,Mosquito,Barnstable,Barnstable,8/24/23,41.7016936,-70.3036163
163,163,WNV,Mosquito,Barnstable,Yarmouth,8/6/24,41.7056656,-70.2286314
273,273,WNV,Mosquito,Barnstable,Yarmouth,8/13/24,41.7056656,-70.2286314
377,377,WNV,Mosquito,Barnstable,Yarmouth,8/29/24,41.7056656,-70.2286314
108,108,WNV,Mosquito,Plymouth,Rochester,7/30/24,41.7317247,-70.820299
109,109,WNV,Mosquito,Plymouth,Rochester,7/30/24,41.7317247,-70.820299
110,110,WNV,Mosquito,Plymouth,Rochester,7/30/24,41.7317247,-70.820299
111,111,WNV,Mosquito,Plymouth,Rochester,7/30/24,41.7317247,-70.820299
112,112,WNV,Mosquito,Plymouth,Rochester,7/30/24,41.7317247,-70.820299
247,247,WNV,Mosquito,Plymouth,Rochester,8/6/24,41.7317247,-70.820299
248,248,WNV,Mosquito,Plymouth,Rochester,8/6/24,41.7317247,-70.820299
337,337,EEE,Mosquito,Plymouth,Rochester,8/20/24,41.7317247,-70.820299
338,338,EEE,Mosquito,Plymouth,Rochester,8/20/24,41.7317247,-70.820299
161,161,WNV,Mosquito,Barnstable,Dennis,7/31/24,41.7353872,-70.1939087
162,162,WNV,Mosquito,Barnstable,Dennis,8/1/24,41.7353872,-70.1939087
328,328,WNV,Mosquito,Barnstable,Dennis,8/15/24,41.7353872,-70.1939087
68,68,WNV,Mosquito,Bristol,Swansea,7/25/24,41.7481575,-71.1897684
458,2,WNV,Mosquito,Barnstable,Sandwich,7/15/22,41.7579043,-70.4968152
102,102,EEE,Mosquito,Plymouth,Wareham,7/30/24,41.7626037,-70.7217017
118,118,WNV,Mosquito,Plymouth,Wareham,7/30/24,41.7626037,-70.7217017
522,66,WNV,Mosquito,Plymouth,Wareham,8/26/22,41.7626037,-70.7217017
186,186,WNV,Mosquito,Bristol,Freetown,8/6/24,41.7950262,-71.0676389
304,304,WNV,Mosquito,Bristol,Freetown,8/13/24,41.7950262,-71.0676389
431,431,EEE,Mosquito,Bristol,Freetown,9/10/24,41.7950262,-71.0676389
